Date,Clicks,Impressions,CTR,Position
2025-12-04,0,1,0%,6
2025-12-05,0,1,0%,97
2025-12-06,0,0,,
2025-12-07,0,0,,
2025-12-08,0,0,,
2025-12-09,0,0,,
2025-12-10,0,3,0%,81.3
2025-12-11,0,0,,
2025-12-12,0,0,,
2025-12-13,0,1,0%,89
2025-12-14,0,1,0%,95
2025-12-15,0,0,,
2025-12-16,0,1,0%,90
2025-12-17,0,0,,
2025-12-18,0,0,,
2025-12-19,0,0,,
2025-12-20,0,0,,
2025-12-21,0,0,,
2025-12-22,0,0,,
2025-12-23,0,0,,
2025-12-24,0,0,,
2025-12-25,0,0,,
2025-12-26,0,0,,
2025-12-27,0,1,0%,37
2025-12-28,0,0,,
2025-12-29,0,0,,
2025-12-30,0,0,,
2025-12-31,0,0,,
2026-01-01,0,0,,
2026-01-02,0,0,,
2026-01-03,0,1,0%,1
2026-01-04,0,4,0%,5.2
2026-01-05,0,0,,
2026-01-06,0,0,,
2026-01-07,0,0,,
2026-01-08,0,1,0%,8
2026-01-09,0,2,0%,45
2026-01-10,0,1,0%,98
2026-01-11,0,2,0%,48.5
2026-01-12,0,1,0%,91
2026-01-13,0,1,0%,93
2026-01-14,0,7,0%,39.1
2026-01-15,0,4,0%,52.2
2026-01-16,0,0,,
2026-01-17,0,10,0%,84.3
2026-01-18,0,1,0%,94
2026-01-19,0,1,0%,9
2026-01-20,0,3,0%,85
2026-01-21,0,6,0%,90.5
2026-01-22,0,1,0%,97
2026-01-23,0,2,0%,8
2026-01-24,0,4,0%,91.2
2026-01-25,0,2,0%,62.5
2026-01-26,0,4,0%,92.5
2026-01-27,0,4,0%,31.5
2026-01-28,0,6,0%,56.5
2026-01-29,0,4,0%,90.5
2026-01-30,0,2,0%,83
2026-01-31,0,4,0%,84
2026-02-01,0,2,0%,51.5
2026-02-02,0,4,0%,48.8
2026-02-03,0,5,0%,50.6
2026-02-04,0,4,0%,18.2
2026-02-05,0,0,,
2026-02-06,0,0,,
2026-02-07,0,0,,
2026-02-08,0,1,0%,42
2026-02-09,0,0,,
2026-02-10,0,0,,
2026-02-11,0,0,,
2026-02-12,0,0,,
2026-02-13,0,10,0%,6
2026-02-14,0,43,0%,18.1
2026-02-15,0,57,0%,23.5
2026-02-16,0,69,0%,16.5
2026-02-17,1,51,1.96%,17.2
2026-02-18,1,85,1.18%,14.8
2026-02-19,2,79,2.53%,10.1
2026-02-20,2,55,3.64%,8.7
2026-02-21,0,80,0%,21.1
2026-02-22,0,117,0%,8.2
2026-02-23,1,74,1.35%,10.8
2026-02-24,2,91,2.2%,10.4
2026-02-25,1,83,1.2%,12.6
2026-02-26,1,73,1.37%,12.3
2026-02-27,0,77,0%,13
2026-02-28,0,88,0%,25.8
2026-03-01,1,134,0.75%,6
2026-03-02,0,167,0%,5.6
2026-03-03,1,153,0.65%,8.3
